,TeamA,ScoreA,ScoreB,TeamB,Label
0,Russia,0.0,1.0,Saudi Arabia,1.0
1,Egypt,1.0,1.0,Uruguay,1.0
2,Portugal,0.0,1.0,Spain,1.0
3,Morocco,0.0,3.0,Iran,3.0
4,France,3.0,1.0,Australia,1.0
5,Peru,2.0,0.0,Denmark,0.0
6,Argentina,0.0,0.0,Iceland,0.0
7,Croatia,1.0,1.0,Nigeria,1.0
8,Brazil,0.0,2.0,Switzerland,2.0
9,Costa Rica,0.0,0.0,Serbia,0.0
10,Germany,1.0,2.0,Mexico,2.0
11,Sweden,0.0,1.0,Korea Republic,1.0
12,Belgium,0.0,0.0,Panama,0.0
13,Tunisia,0.0,0.0,England,0.0
14,Poland,2.0,0.0,Senegal,0.0
15,Colombia,4.0,1.0,Japan,1.0
16,Russia,2.0,3.0,Egypt,3.0
17,Uruguay,1.0,0.0,Saudi Arabia,0.0
18,Portugal,2.0,1.0,Morocco,1.0
19,Iran,0.0,2.0,Spain,2.0
20,France,0.0,1.0,Peru,1.0
21,Denmark,0.0,0.0,Australia,0.0
22,Argentina,2.0,1.0,Croatia,1.0
23,Nigeria,3.0,1.0,Iceland,1.0
24,Brazil,0.0,1.0,Costa Rica,1.0
25,Serbia,2.0,0.0,Switzerland,0.0
26,Germany,4.0,4.0,Sweden,4.0
27,Korea Republic,0.0,1.0,Mexico,1.0
28,Belgium,0.0,1.0,Tunisia,1.0
29,England,3.0,2.0,Panama,2.0
30,Poland,0.0,4.0,Colombia,4.0
31,Japan,2.0,2.0,Senegal,2.0
32,Uruguay,0.0,0.0,Russia,0.0
33,Saudi Arabia,0.0,0.0,Egypt,0.0
34,Iran,0.0,3.0,Portugal,3.0
35,Spain,1.0,0.0,Morocco,0.0
36,Denmark,1.0,2.0,France,2.0
37,Australia,2.0,0.0,Peru,0.0
38,Nigeria,0.0,0.0,Argentina,0.0
39,Iceland,0.0,0.0,Croatia,0.0
40,Serbia,2.0,3.0,Brazil,3.0
41,Switzerland,1.0,1.0,Costa Rica,1.0
42,Korea Republic,1.0,3.0,Germany,3.0
43,Mexico,0.0,1.0,Sweden,1.0
44,England,0.0,0.0,Belgium,0.0
45,Panama,1.0,1.0,Tunisia,1.0
46,Japan,3.0,1.0,Poland,1.0
47,Senegal,0.0,0.0,Colombia,0.0
48,Uruguay,1.0,3.0,Portugal,3.0
49,France,1.0,1.0,Croatia,1.0
50,Brazil,0.0,1.0,Mexico,1.0
51,Belgium,1.0,0.0,Japan,0.0
52,Spain,2.0,1.0,Russia,1.0
53,Argentina,1.0,1.0,Denmark,1.0
54,Germany,4.0,0.0,Switzerland,0.0
55,Colombia,2.0,1.0,Tunisia,1.0
56,Portugal,1.0,0.0,France,0.0
57,Brazil,1.0,0.0,Belgium,0.0
58,Spain,2.0,0.0,Denmark,0.0
59,Spain,0.0,0.0,Argentina,0.0
60,Germany,1.0,2.0,Colombia,2.0
61,Germany,2.0,0.0,Tunisia,0.0
